Product_ID,Brand,Price,Ingredients
0,LuxuryGlow,52,Retinol
1,DermaCare,134,Hyaluronic_Acid
2,LuxuryGlow,125,Ceramides|Salicylic_Acid|Retinol
3,InfluenceX,86,Salicylic_Acid
4,LuxuryGlow,36,Hyaluronic_Acid
5,ClinicalSkin,124,Salicylic_Acid|Hyaluronic_Acid|Retinol
6,ClinicalSkin,13,Hyaluronic_Acid|Vitamin_C
7,ClinicalSkin,40,Salicylic_Acid|Hyaluronic_Acid
8,InfluenceX,69,Retinol|Hyaluronic_Acid
9,DermaCare,99,Salicylic_Acid|Ceramides
10,InfluenceX,46,Retinol
11,BudgetBeauty,74,Retinol|Salicylic_Acid|Ceramides
12,InfluenceX,149,Salicylic_Acid|Vitamin_C|Ceramides
13,ClinicalSkin,51,Ceramides|Retinol
14,ClinicalSkin,118,Salicylic_Acid
15,LuxuryGlow,89,Hyaluronic_Acid|Retinol|Salicylic_Acid
16,DermaCare,132,Vitamin_C
17,BudgetBeauty,97,Retinol|Hyaluronic_Acid
18,BudgetBeauty,50,Hyaluronic_Acid|Retinol
19,LuxuryGlow,46,Hyaluronic_Acid|Ceramides|Salicylic_Acid
20,InfluenceX,52,Retinol|Hyaluronic_Acid
21,BudgetBeauty,130,Hyaluronic_Acid
22,LuxuryGlow,145,Vitamin_C|Retinol
23,LuxuryGlow,132,Ceramides
24,BudgetBeauty,89,Vitamin_C
25,InfluenceX,132,Vitamin_C|Hyaluronic_Acid|Ceramides
26,DermaCare,18,Ceramides
27,ClinicalSkin,97,Ceramides|Vitamin_C
28,ClinicalSkin,48,Retinol|Hyaluronic_Acid
29,DermaCare,138,Vitamin_C|Salicylic_Acid|Ceramides
30,LuxuryGlow,140,Hyaluronic_Acid
31,InfluenceX,146,Salicylic_Acid|Vitamin_C|Hyaluronic_Acid
32,ClinicalSkin,119,Ceramides|Retinol
33,ClinicalSkin,62,Salicylic_Acid
34,ClinicalSkin,20,Retinol|Salicylic_Acid
35,BudgetBeauty,50,Hyaluronic_Acid|Vitamin_C
36,LuxuryGlow,118,Retinol|Hyaluronic_Acid|Ceramides
37,LuxuryGlow,12,Retinol|Hyaluronic_Acid|Salicylic_Acid
38,BudgetBeauty,108,Ceramides
39,ClinicalSkin,89,Ceramides
40,BudgetBeauty,23,Salicylic_Acid|Ceramides
41,BudgetBeauty,109,Hyaluronic_Acid|Salicylic_Acid
42,DermaCare,76,Salicylic_Acid|Ceramides|Retinol
43,InfluenceX,121,Ceramides
44,DermaCare,133,Vitamin_C
45,ClinicalSkin,143,Retinol
46,ClinicalSkin,25,Vitamin_C|Hyaluronic_Acid|Retinol
47,DermaCare,113,Retinol|Vitamin_C|Ceramides
48,BudgetBeauty,43,Ceramides|Vitamin_C
49,LuxuryGlow,105,Hyaluronic_Acid
50,LuxuryGlow,106,Salicylic_Acid|Hyaluronic_Acid
51,ClinicalSkin,62,Salicylic_Acid
52,LuxuryGlow,10,Salicylic_Acid|Hyaluronic_Acid|Ceramides
53,LuxuryGlow,100,Salicylic_Acid|Hyaluronic_Acid
54,BudgetBeauty,88,Vitamin_C|Hyaluronic_Acid|Retinol
55,DermaCare,25,Ceramides|Vitamin_C|Salicylic_Acid
56,InfluenceX,104,Hyaluronic_Acid|Salicylic_Acid
57,LuxuryGlow,146,Vitamin_C|Retinol|Hyaluronic_Acid
58,InfluenceX,84,Salicylic_Acid|Ceramides
59,LuxuryGlow,28,Retinol|Salicylic_Acid
60,DermaCare,18,Hyaluronic_Acid
61,ClinicalSkin,53,Hyaluronic_Acid|Vitamin_C
62,DermaCare,107,Vitamin_C|Hyaluronic_Acid
63,LuxuryGlow,84,Ceramides|Salicylic_Acid
64,LuxuryGlow,132,Ceramides|Salicylic_Acid|Vitamin_C
65,DermaCare,121,Vitamin_C
66,InfluenceX,50,Hyaluronic_Acid|Vitamin_C
67,LuxuryGlow,20,Vitamin_C
68,LuxuryGlow,52,Retinol|Vitamin_C
69,BudgetBeauty,63,Ceramides|Vitamin_C
70,DermaCare,149,Retinol
71,DermaCare,82,Ceramides
72,ClinicalSkin,98,Retinol
73,LuxuryGlow,64,Ceramides
74,InfluenceX,125,Ceramides|Hyaluronic_Acid|Salicylic_Acid
75,ClinicalSkin,48,Hyaluronic_Acid
76,LuxuryGlow,146,Salicylic_Acid|Hyaluronic_Acid|Vitamin_C
77,LuxuryGlow,19,Hyaluronic_Acid|Salicylic_Acid|Retinol
78,LuxuryGlow,133,Ceramides|Retinol
79,BudgetBeauty,117,Retinol
80,DermaCare,12,Vitamin_C|Hyaluronic_Acid
81,BudgetBeauty,97,Retinol|Salicylic_Acid
82,LuxuryGlow,18,Ceramides|Salicylic_Acid
83,LuxuryGlow,42,Hyaluronic_Acid|Retinol|Salicylic_Acid
84,BudgetBeauty,23,Hyaluronic_Acid
85,BudgetBeauty,12,Hyaluronic_Acid|Vitamin_C
86,ClinicalSkin,65,Retinol|Salicylic_Acid|Ceramides
87,ClinicalSkin,89,Salicylic_Acid|Hyaluronic_Acid
88,BudgetBeauty,128,Salicylic_Acid
89,ClinicalSkin,22,Retinol
90,BudgetBeauty,116,Hyaluronic_Acid|Retinol|Salicylic_Acid
91,BudgetBeauty,21,Vitamin_C|Retinol|Salicylic_Acid
92,LuxuryGlow,83,Vitamin_C|Retinol|Salicylic_Acid
93,LuxuryGlow,19,Hyaluronic_Acid|Retinol
94,DermaCare,61,Vitamin_C|Ceramides|Retinol
95,LuxuryGlow,121,Salicylic_Acid
96,DermaCare,106,Salicylic_Acid|Retinol|Vitamin_C
97,ClinicalSkin,114,Vitamin_C
98,DermaCare,118,Retinol
99,BudgetBeauty,11,Retinol
100,DermaCare,86,Hyaluronic_Acid|Salicylic_Acid|Ceramides
